rank,name,state,score,admission_rate,sat_average,completion_rate,earnings_10_year_median,known_fields,unknown_fields
45,University of Virginia-Main Campus,VA,0.95834876,0.1681,1480,0.9545,86863,6,13
46,New York University,NY,0.95730416,0.0923,1520,0.8801,82509,6,13
47,Colby College,ME,0.95720288,0.0709,1501,0.8949,80490,6,13
48,Northeastern University Oakland,CA,0.95709392,0.1665,1472,,92538,6,13
49,Villanova University,PA,0.95419829,0.2698,1460,0.9214,100423,6,13
50,Haverford College,PA,0.95334207,0.1237,1513,0.8952,79966,6,13
51,Boston University,MA,0.95282201,0.1111,1480,0.8931,83238,6,13
52,University of Michigan-Ann Arbor,MI,0.95168762,0.1564,1465,0.9321,83648,6,13
53,Middlebury College,VT,0.95076353,0.1075,1508,0.92,76310,6,13
54,Hamilton College,NY,0.95025748,0.1362,1506,0.9094,78411,6,13
55,Lehigh University,PA,0.95023043,0.2593,1440,0.8855,105584,6,13
56,Webb Institute,NY,0.94967731,0.1404,1496,0.8431,,6,13
57,Davidson College,NC,0.94912061,0.1337,1469,0.9148,81400,6,13
58,Yeshiva Zichron Aryeh,NY,0.94215938,0.25,,,,2,17
59,Carleton College,MN,0.94106811,0.2041,1517,0.9039,75525,6,13
60,Case Western Reserve University,OH,0.94066526,0.3654,1513,0.8706,87989,6,13
61,Wesleyan University,CT,0.93878234,0.1649,1501,0.9212,73897,6,13
62,University of California-San Diego,CA,0.93808999,0.2671,,0.8677,84943,3,16
63,Wake Forest University,NC,0.93791486,0.2167,1475,0.8999,78158,6,13
64,California Polytechnic State University-San Luis Obispo,CA,0.93777827,0.3132,,0.8574,90768,3,16
65,Bucknell University,PA,0.93491020,0.2893,1410,0.8627,93807,6,13
66,Gnomon,CA,0.93456066,0.4182,,,114785,2,17
67,Lafayette College,PA,0.93401866,0.3145,1424,0.8781,91410,6,13
68,Baptist Missionary Association Theological Seminary,TX,0.93316195,0.2857,,,,2,17
69,Hillsdale College,MI,0.93253704,0.2072,1415,0.8716,,5,14
70,University of Richmond,VA,0.93253484,0.222,1497,0.8649,76178,6,13
71,University of California-Irvine,CA,0.92873809,0.2857,,0.8638,80735,3,16
72,College of the Holy Cross,MA,0.92870977,0.1761,1353,0.8843,90543,6,13
